@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute features-1 numeric
@attribute features-2 numeric
@attribute features-3 numeric
@attribute features-4 numeric
@attribute features-5 numeric
@attribute features-6 numeric
@attribute features-7 numeric
@attribute state {0,1,2,3,4}
@attribute intensity numeric

@data
4178,'2026/07/05 20:02:38:196',45,0.505316,0.578121,0.004757,0.003196,0.001159,0.766032,0.003674,1,0.2
4179,'2026/07/05 20:02:38:310',45,0.513779,0.578121,0.004757,0.003196,0.001159,0.766032,0.003674,1,0.2
4180,'2026/07/05 20:02:38:422',45,0.522413,0.582609,0.004757,0.003196,0.001159,0.766032,0.003674,1,0.2
4181,'2026/07/05 20:02:38:547',45,0.530062,0.586114,0.004757,0.003196,0.001159,0.766032,0.003674,1,0.2
4182,'2026/07/05 20:02:38:755',45,0.538777,0.591035,0.004757,0.003196,0.003126,0.766032,0.003674,1,0.2
4183,'2026/07/05 20:02:38:755',45,0.546324,0.596402,0.004757,0.003196,0.003126,0.766032,0.003674,1,0.2
4184,'2026/07/05 20:02:38:845',45,0.554045,0.605217,0.004757,0.003196,0.003126,0.766032,0.003674,1,0.2
4185,'2026/07/05 20:02:38:956',45,0.562623,0.614547,0.007256,0.003196,0.004825,0.766032,0.003674,1,0.2
4186,'2026/07/05 20:02:39:066',45,0.570577,0.625174,0.007256,0.003196,0.004825,0.766032,0.003674,1,0.2
4187,'2026/07/05 20:02:39:179',45,0.577924,0.638306,0.007256,0.003196,0.00711,0.742676,0.003674,1,0.2
4188,'2026/07/05 20:02:39:286',45,0.581086,0.652193,0.007256,0.003196,0.00711,0.742676,0.003674,1,0.2
4189,'2026/07/05 20:02:39:400',45,0.586883,0.668939,0.010599,0.003196,0.009533,0.742676,0.007511,1,0.2
4190,'2026/07/05 20:02:39:513',45,0.590854,0.686282,0.010599,0.001536,0.009533,0.720005,0.007511,1,0.2
4191,'2026/07/05 20:02:39:628',45,0.590854,0.704288,0.011031,-0.000159,0.009533,0.720005,0.007511,1,0.2
4192,'2026/07/05 20:02:39:738',45,0.590854,0.722664,0.011031,-0.000159,0.009533,0.691747,0.007511,1,0.2
4193,'2026/07/05 20:02:39:851',45,0.590854,0.739272,0.011031,-0.002291,0.009533,0.691747,0.007511,1,0.2
4194,'2026/07/05 20:02:40:084',45,0.582338,0.753569,0.009371,-0.002291,0.007542,0.666173,0.007511,1,0.2
4195,'2026/07/05 20:02:40:084',45,0.576048,0.765419,0.009371,-0.002291,0.005663,0.666173,0.007511,1,0.2
4196,'2026/07/05 20:02:40:170',45,0.565774,0.774985,0.009371,-0.004992,0.005663,0.645,0.007511,1,0.2
4197,'2026/07/05 20:02:40:289',45,0.554367,0.782734,0.009371,-0.004992,0.004034,0.645,0.007511,1,0.2
4198,'2026/07/05 20:02:40:394',45,0.541977,0.785972,0.009371,-0.007269,0.001967,0.645,0.007511,1,0.2
4199,'2026/07/05 20:02:40:506',45,0.527725,0.789669,0.009371,-0.007269,0.001967,0.624737,0.007511,1,0.2
4200,'2026/07/05 20:02:40:602',45,0.514845,0.79322,0.009371,-0.007269,0.001967,0.624737,0.007511,1,0.2
4201,'2026/07/05 20:02:51:115',46,0.399198,0.813728,0.004704,-0.002136,0.000388,0.612541,0.004216,1,0.2
4202,'2026/07/05 20:02:51:221',46,0.389564,0.813728,0.004704,-0.002136,0.000388,0.612541,0.004216,1,0.2
4203,'2026/07/05 20:02:51:333',46,0.381864,0.813728,0.004704,-0.003929,-0.00147,0.612541,0.004216,1,0.2
4204,'2026/07/05 20:02:51:547',46,0.372822,0.81071,0.006623,-0.003929,-0.00147,0.612541,0.004216,1,0.2
4205,'2026/07/05 20:02:51:557',46,0.362971,0.806438,0.006623,-0.003929,-0.00147,0.612541,0.004216,1,0.2
4206,'2026/07/05 20:02:51:671',46,0.351849,0.79579,0.009507,-0.006032,-0.005317,0.639368,0.004216,1,0.2
4207,'2026/07/05 20:02:51:781',46,0.340531,0.784896,0.009507,-0.006032,-0.005317,0.639368,0.004216,1,0.2
4208,'2026/07/05 20:02:51:871',46,0.328875,0.771461,0.009507,-0.006032,-0.007079,0.664594,0.004216,1,0.2
4209,'2026/07/05 20:02:51:963',46,0.31844,0.758997,0.009507,-0.006032,-0.007079,0.664594,0.004216,1,0.2
4210,'2026/07/05 20:02:52:070',46,0.308854,0.744818,0.009507,-0.006032,-0.007079,0.684792,0.004216,1,0.2
4211,'2026/07/05 20:02:52:166',46,0.300771,0.731198,0.009507,-0.004196,-0.007079,0.684792,0.004216,1,0.2
4212,'2026/07/05 20:02:52:270',46,0.294455,0.714443,0.009507,-0.004196,-0.008581,0.684792,0.007503,1,0.2
4213,'2026/07/05 20:02:52:379',46,0.289804,0.69818,0.009507,-0.00242,-0.008581,0.706724,0.007503,1,0.2
4214,'2026/07/05 20:02:52:485',46,0.289804,0.681955,0.009507,-0.000806,-0.008581,0.706724,0.007503,1,0.2
4215,'2026/07/05 20:02:52:590',46,0.289804,0.66686,0.009507,-0.000806,-0.008581,0.706724,0.007503,1,0.2
4216,'2026/07/05 20:02:52:691',46,0.286786,0.6526,0.009507,0.000909,-0.006833,0.706724,0.007503,1,0.2
4217,'2026/07/05 20:02:52:803',46,0.290468,0.638101,0.009507,0.000909,-0.006833,0.706724,0.007503,1,0.2
4218,'2026/07/05 20:02:52:915',46,0.29461,0.623995,0.009507,0.000909,-0.006833,0.706724,0.007503,1,0.2
4219,'2026/07/05 20:02:53:036',46,0.300807,0.609748,0.009507,0.002565,-0.006833,0.706724,0.007503,1,0.2
4220,'2026/07/05 20:02:53:149',46,0.308478,0.596014,0.009507,0.002565,-0.006833,0.706724,0.007503,1,0.2
4221,'2026/07/05 20:02:53:259',46,0.319882,0.582573,0.011411,0.007012,-0.006833,0.727154,0.007503,1,0.2
4222,'2026/07/05 20:02:53:376',46,0.333557,0.569429,0.011411,0.007012,-0.006833,0.727154,0.007503,1,0.2
4223,'2026/07/05 20:02:53:497',46,0.349071,0.558705,0.011411,0.007012,-0.004971,0.727154,0.007503,1,0.2
4224,'2026/07/05 20:02:53:599',46,0.365612,0.549459,0.011411,0.007012,-0.004971,0.727154,0.007503,1,0.2
4225,'2026/07/05 20:02:53:707',46,0.383599,0.54599,0.011411,0.009178,-0.00347,0.727154,0.007503,1,0.2
4226,'2026/07/05 20:02:53:798',46,0.401496,0.541053,0.011411,0.009178,-0.000499,0.727154,0.007503,1,0.2
4227,'2026/07/05 20:02:53:914',46,0.419257,0.541053,0.011411,0.009178,-0.000499,0.727154,0.007503,1,0.2
4228,'2026/07/05 20:02:54:021',46,0.437985,0.544476,0.013299,0.009178,0.003272,0.727154,0.007503,1,0.2
4229,'2026/07/05 20:02:54:127',46,0.45646,0.552856,0.013299,0.009178,0.003272,0.707117,0.007503,1,0.2
4230,'2026/07/05 20:02:54:234',46,0.473585,0.565317,0.013299,0.009178,0.007555,0.707117,0.007503,1,0.2
4231,'2026/07/05 20:02:54:342',46,0.489447,0.580507,0.013299,0.009178,0.007555,0.707117,0.007503,1,0.2
4232,'2026/07/05 20:02:54:444',46,0.503676,0.595526,0.013299,0.007217,0.007555,0.686468,0.007503,1,0.2
4233,'2026/07/05 20:02:54:551',46,0.516046,0.610667,0.011468,0.007217,0.007555,0.686468,0.007503,1,0.2
4234,'2026/07/05 20:02:54:658',46,0.527271,0.627689,0.011468,0.005351,0.007555,0.686468,0.007503,1,0.2
4235,'2026/07/05 20:02:54:829',46,0.536455,0.644229,0.011468,0.005351,0.007555,0.665662,0.007503,1,0.2
4236,'2026/07/05 20:02:54:877',46,0.539917,0.665431,0.01328,0.003462,0.010865,0.665662,0.007503,1,0.2
4237,'2026/07/05 20:02:54:991',46,0.544918,0.685178,0.011646,0.001699,0.010865,0.641854,0.007503,1,0.2
4238,'2026/07/05 20:02:55:104',46,0.544918,0.705593,0.011646,0.001699,0.010865,0.621086,0.007503,1,0.2
4239,'2026/07/05 20:02:55:211',46,0.544918,0.724005,0.011646,-0.000147,0.009341,0.621086,0.007503,1,0.2
4240,'2026/07/05 20:02:55:316',46,0.544918,0.743336,0.011646,-0.002317,0.009341,0.598138,0.007503,1,0.2
4241,'2026/07/05 20:02:55:441',46,0.541424,0.760866,0.011646,-0.002317,0.009341,0.598138,0.007503,1,0.2
4242,'2026/07/05 20:02:55:543',46,0.532049,0.776837,0.01151,-0.004585,0.007428,0.598138,0.007503,1,0.2
4243,'2026/07/05 20:02:55:647',46,0.522315,0.792383,0.01151,-0.004585,0.007428,0.576531,0.007503,1,0.2
4244,'2026/07/05 20:02:55:740',46,0.512425,0.805437,0.009817,-0.004585,0.007428,0.576531,0.007503,1,0.2
4245,'2026/07/05 20:02:55:862',46,0.499068,0.81708,0.009817,-0.006542,0.005454,0.576531,0.007503,1,0.2
4246,'2026/07/05 20:02:55:968',46,0.48517,0.826644,0.009817,-0.006542,0.005454,0.576531,0.007503,1,0.2
4247,'2026/07/05 20:02:56:075',46,0.47056,0.834368,0.009817,-0.006542,0.003548,0.576531,0.007503,1,0.2
4248,'2026/07/05 20:02:56:187',46,0.452078,0.837785,0.011987,-0.009374,0.002024,0.576531,0.007503,1,0.2
